form type,comm_id,Trans_id_number,E_links_act_blue,71_is_ind,_ind,Packager,Name1,Name2,Name3 ,Name4,name5,address,adress_extra,city,state,zipcode,presidential_campaign,unkown,Date,donation_amt,donation_to_date_total,unkown2,employer,job_position,unkown4,unkown5,,,,,,,,,,,,,,,,,
SA17A,C00659938,669561,669561E,SA17A,IND,,Abe,James,,,,129 N Carson Rd,,Beverly Hills,CA,902112110,P2020,,20190630,250,450,,Oracle,Sales,,,,,,,,,,,,,,,,,,,* Earmarked Contribution: See Below
SA17A,C00659938,669561E,,,PAC,ActBlue,,,,,,PO Box 441146,,West Somerville,MA,21440031,P2020,,20190630,250,2162936.35,,,Conduit total listed in Agg. field,C00401224,ActBlue,,,,,,,,,,,,,,,,X,Note: Above Contribution earmarked through this organization.
SA17A,C00659938,656745,656745E,SA17A,IND,,Abraham,Shaun,,,,6810 Jefferson Hwy,,Baton Rouge,LA,708068175,P2020,,20190624,20,210,,Olol Hospital,Doctor,,,,,,,,,,,,,,,,,,,* Earmarked Contribution: See Below
SA17A,C00659938,656745E,,,PAC,ActBlue,,,,,,PO Box 441146,,West Somerville,MA,21440031,P2020,,20190624,20,2162936.35,,,Conduit total listed in Agg. field,C00401224,ActBlue,,,,,,,,,,,,,,,,X,Note: Above Contribution earmarked through this organization.
SA17A,C00659938,675862,675862E,SA17A,IND,,Abraham,Shaun,,,,6810 Jefferson Hwy,,Baton Rouge,LA,708068175,P2020,,20190630,35,245,,Olol Hospital,Doctor,,,,,,,,,,,,,,,,,,,* Earmarked Contribution: See Below
SA17A,C00659938,675862E,,,PAC,ActBlue,,,,,,PO Box 441146,,West Somerville,MA,21440031,P2020,,20190630,35,2162936.35,,,Conduit total listed in Agg. field,C00401224,ActBlue,,,,,,,,,,,,,,,,X,Note: Above Contribution earmarked through this organization.
SA17A,C00659938,618387,618387E,SA17A,IND,,Adams,Mark,,,,298 Surrey Xing,,Ridgeland,MS,391578721,P2020,,20190530,50,201.92,,Methodist Rehab,Hospital Administrator,,,,,,,,,,,,,,,,,,,* Earmarked Contribution: See Below
SA17A,C00659938,618387E,,,PAC,ActBlue,,,,,,PO Box 441146,,West Somerville,MA,21440031,P2020,,20190530,50,2162936.35,,,Conduit total listed in Agg. field,C00401224,ActBlue,,,,,,,,,,,,,,,,X,Note: Above Contribution earmarked through this organization.
SA17A,C00659938,612466,612466E,SA17A,IND,,Adams,Mark,,,,298 Surrey Xing,,Ridgeland,MS,391578721,P2020,,20190607,35,236.92,,Methodist Rehab,Hospital Administrator,,,,,,,,,,,,,,,,,,,* Earmarked Contribution: See Below
SA17A,C00659938,612466E,,,PAC,ActBlue,,,,,,PO Box 441146,,West Somerville,MA,21440031,P2020,,20190609,35,2162936.35,,,Conduit total listed in Agg. field,C00401224,ActBlue,,,,,,,,,,,,,,,,X,Note: Above Contribution earmarked through this organization.
SA17A,C00659938,624961,,,IND,,Adams,Mark,,,,298 Surrey Xing,,Ridgeland,MS,391578721,P2020,,20190612,34.94,271.86,,Methodist Rehab,Hospital Administrator,,,,,,,,,,,,,,,,,,,
SA17A,C00659938,640502,640502E,SA17A,IND,,Addessi,Jamie,,,,7 Pheasant Way,,South Burlington,VT,54037897,P2020,,20190521,20,620,,N/A,Not Employed,,,,,,,,,,,,,,,,,,,* Earmarked Contribution: See Below
